"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<H4>默認模板</ H4> 
 <p> <a用途神社href=""http://jinja.pocoo.org/docs/templates/"">模板</A>和地址的所有領域（包括自定義字段如果有的話）將可</ P> 
 <前> <代碼> {{address_line1}}＆LT; BR＆GT; 
 {％，如果address_line2％} {{address_line2}}＆LT; BR＆GT; { ENDIF％ - ％} 
 {{城市}}＆LT; BR＆GT; 
 {％，如果狀態％} {{狀態}}＆LT; BR＆GT; {％ENDIF - ％} {
％，如果PIN代碼％} PIN：{{PIN碼}}＆LT; BR＆GT; {％ENDIF - ％} 
 {{國家}}＆LT; BR＆GT; 
 {％，如果電話％}電話：{{電話}}＆LT; BR＆GT; { ％ENDIF - ％} 
 {％，如果傳真％}傳真：{{傳真}}＆LT; BR＆GT; {％ENDIF - ％} 
 {％，如果email_id％}電子郵件：{{email_id}}＆LT; BR＆GT {％ENDIF - ％} 
 </代碼> </ PRE>",
"<h5>Message Example</h5>

<pre>&lt;h3&gt;Order Overdue&lt;/h3&gt;

&lt;p&gt;Transaction {{ doc.name }} has exceeded Due Date. Please take necessary action.&lt;/p&gt;

&lt;!-- show last comment --&gt;
{% if comments %}
Last comment: {{ comments[-1].comment }} by {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;Details&lt;/h4&gt;

&lt;ul&gt;
&lt;li&gt;Customer: {{ doc.customer }}
&lt;li&gt;Amount: {{ doc.grand_total }}
&lt;/ul&gt;
</pre>","<h5>消息范例</h5>

<pre>&lt;h3&gt;订单逾期&lt;/h3&gt;

&lt;p&gt;交易 {{ doc.name }} 已逾期. 请采取必要行动.&lt;/p&gt;

&lt;!-- 显示最新备注信息 --&gt;
{% if comments %}
最新备注: {{ comments[-1].comment }}  {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;详情&lt;/h4&gt;

&lt;ul&gt;
&lt;li&gt;客户: {{ doc.customer }}
&lt;li&gt;金额: {{ doc.grand_total }}
&lt;/ul&gt;
</pre>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>
","<p><strong>条件范例:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>",
A featured post must have a cover image,精选帖子必须有封面图片,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,資源的列表，它的客戶端應用程序必須將用戶允許後訪問。 <br>如項目,
A new account has been created for you at {0},已經在{0}為您創建一個新的帳戶,
A recurring {0} {1} has been created for you via Auto Repeat {2}.,通过自动重复{2}为您创建了一个重复的{0} {1}。,
A symbol for this currency. For e.g. $,這種貨幣的符號。例如$,
A word by itself is easy to guess.,本身一個字很容易猜到。,
A4,A4,
ALL,所有,
API,API,
API Access,API访问,
API Endpoint,API端點,
API Endpoint Args,API端點參數,
API Key,API密鑰,
API Key cannot be regenerated,无法重新生成API密钥,
API Method,API方法,
API Secret,API揭秘,
ASC,ASC,
About,關於,
About Us Settings,關於我們的設置,
About Us Team Member,關於我們的團隊成員,
About {0} minute remaining,剩余约{0}分钟,
About {0} minutes remaining,剩余约{0}分钟,
About {0} seconds remaining,剩余约{0}秒,
Access Key ID,訪問密鑰ID,
Access Key Secret,访问密钥秘密,
Access Log,访问记录,
Access Token,存取 Token,
Access Token URL,訪問令牌URL,
Access not allowed from this IP Address,不允许从该IP地址访问,
Account,帳戶,
Account Deletion Settings,账号删除设置,
Accounts Manager,會計經理,
Accounts User,會計人員,
Action,行動,
Action / Route,操作 / 网址路径,
Action Failed,操作失敗,
Action Timeout (Seconds),動作超時（秒）,
Action Type,操作类型,
Actions,操作,
Active,啟用,
Active Domains,活動域,
Active Sessions,活動會話,
Activity,活動,
Activity Log,活動日誌,
Add,新增,
Add / Remove Columns,添加/移除列,
Add / Update,添加/更新,
Add A New Rule,添加新的規則,
Add Attachment,添加附件,
Add Chart to Dashboard,添加图表至数据面板,
Add Child,新增子項目,
Add Column,添加欄,
Add Contact,增加聯繫人,
Add Contacts,添加聯繫人,
Add Container,添加容器,
Add Custom Tags,添加自定义标签,
Add Filter,新增過濾器,
Add Filters,添加过滤条件,
Add Gray Background,添加灰色背景,
Add Group,添加分组,
Add Multiple,添加多個,
Add New Permission Rule,添加新的權限規則,
Add Participants,添加參與者,
Add Review,添加评论,
Add Row,添加一行,
Add Signature,添加簽名,
Add Subscribers,添加訂閱,
Add Tags,添加标签,
Add Template,新建模板,
Add Total Row,新增總計行列,
Add Unsubscribe Link,添加退訂鏈接,
Add User Permissions,添加用户权限,
Add a Filter,添加筛选,
Add a New Role,添加新角色,
Add a comment,新增評論,
Add a new section,添加新分区,
Add a {0} Chart,添加一个{0}图表,
Add field,添加字段,
Add script for Child Table,添加子表的脚本,
Add tab,添加页签,
Add to Dashboard,添加到仪表板,
Add to ToDo,新增待办,
Add to table,添加到表格,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",在&lt;head&gt;添加HTML網頁的部分，主要用於網站的驗證和搜索引擎優化,
Added {0},添加{0},
Added {0} ({1}),添加{0}（{1}）,
Adding System Manager to this User as there must be atleast one System Manager,至少要有一名系統管理員，將該用戶設定成系統管理員,
Additional Permissions,額外的權限,
Address,地址,
Address And Contacts,地址与联系人,
Address Line 1,详细地址1,
Address Line 2,详细地址2,
Address Template,地址模板,
Address Title,地址名稱,
Address Title is mandatory.,地址標題是強制性的。,
Address Type,地址類型,
Address and other legal information you may want to put in the footer.,地址和其他法律資訊，您可能要放在頁腳。,
Addresses,地址,
Addresses And Contacts,地址和聯繫方式,
Adds a custom field to a DocType,添加自定義字段，以一個DOCTYPE,
Administration,管理,
Administrator,管理員,
Administrator Logged In,管理員登錄,
Administrator accessed {0} on {1} via IP Address {2}.,管理員訪問{0}在{1}通過IP地址{2}。,
Advanced,先進,
Advanced Control,高級控制,
Advanced Search,高級搜索,
Advanced Settings,高级设置,
After Cancel,取消后,
After Delete,删除后,
After Insert,创建后,
After Save,保存后,
After Save (Submitted Document),保存后(已提交),
After Submit,提交后,
Aggregate Function Based On,统计字段,
Aggregate Function field is required to create a dashboard chart,创建仪表盘图需要“汇总功能”字段,
Alert,警报,
Align Labels to the Right,將標籤對齊,
Align Right,右对齐,
Align Value,對齊值,
All,全部,
All Day,全天,
All Images attached to Website Slideshow should be public,所有連接到網站幻燈片的圖片應該是公開的,
All Records,所有记录,
All Results,全部结果,
All Time,全部时间,
All customizations will be removed. Please confirm.,所有自定義都將被刪除。請確認。,
All fields are necessary to submit the comment.,所有字段都必須提交評論。,
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is ""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","工作流所有状态与角色，单据状态0 表示""已保存""，1表示""已提交""，2表示""已取消""",
All-uppercase is almost as easy to guess as all-lowercase.,全大寫幾乎一樣容易猜到全部小寫。,
Allocated To,為了分配,
Allot Points To Assigned Users,向分配的用户分配点,
Allow,允許,
Allow API Indexing Access,允许API索引访问,
Allow Auto Repeat,允许自动重复,
Allow Bulk Edit,允許批量修改,
Allow Comments,允許評論,
Allow Consecutive Login Attempts ,允許連續登錄嘗試,
Allow Delete,允許刪除,
Allow Dropbox Access,讓Dropbox的訪問,
Allow Google Calendar Access,允许Google日历访问权限,
Allow Google Contacts Access,允许Google通讯录访问,
Allow Google Drive Access,允许访问谷歌云端硬盘,
Allow Guest,允许访客,
Allow Guest to View,允許訪客查看,
Allow Guests to Upload Files,允许访客上传文件,
Allow Import (via Data Import Tool),允許導入（通過數據導入工具）,
Allow Incomplete Forms,允許不完整的表格,
Allow Login After Fail,允許在失敗後登錄,
Allow Login using Mobile Number,允許使用手機號登錄,
Allow Login using User Name,允許使用用戶名登錄,
Allow Modules,允许模块,
Allow Older Web View Links (Insecure),允许通过登录链接(不安全),
Allow Print,允許打印,
Allow Print for Cancelled,允許打印為已取消,
Allow Print for Draft,允許打印草稿,
Allow Read On All Link Options,允許讀取所有鏈接選項,
Allow Rename,允許重新命名,
Allow Roles,允許角色,
Allow Self Approval,允許自我批准,
Allow Sending Usage Data for Improving Applications,允许发送用于系统改进的使用情况数据,
Allow approval for creator of the document,允許批准文檔的創建者,
Allow document creation via Email,允许基于收到的邮件创建单据,
Allow events in timeline,允許時間軸中的事件,
Allow in Quick Entry,允許快速輸入,
Allow on Submit,允許在提交,
Allow only one session per user,允許每個用戶只有一個會話,
Allow page break inside tables,允許在表格分頁符,
Allow saving if mandatory fields are not filled,允許保存如果必填字段未填寫,
Allow user to login only after this hour (0-24),允許用戶在幾小時後登入（0 - 24）,
Allow user to login only before this hour (0-24),允許用戶在幾小時前登入（0 - 24）,
"Allow users to log in without a password, using a login link sent to their email",允许用户点击邮件中的链接不输密码登录系统,
Allowed,允許的,
Allowed File Extensions,允许的文件扩展名,
Allowed In Mentions,允许提及,
"Allowing DocType, DocType. Be careful!",允許的DOCTYPE，DocType 。要小心！,
Already Registered,已註冊,
Already in the following Users ToDo list:{0},在以下“用户待办事项”列表中：{0},
Also adding the dependent currency field {0},還要添加從屬貨幣字段{0},
Also adding the status dependency field {0},还添加状态依赖项字段{0},
Alternative Email ID,别的邮箱账号,
"Always add ""Draft"" Heading for printing draft documents",隨時添加“草案”標題打印文件草案,
Always use this email address as sender address,使用此邮箱作为发件人邮箱,
Always use this name as sender name,使用此用户名作为发件人,
Amend,修改,
Amended From,從修訂,
Amending,修訂,Freeze message while amending a document
An error occurred while setting Session Defaults,设置会话默认值时发生错误,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],一個圖標文件擴展名為.ico。應為16×16像素。使用圖標生成器生成。 [favicon-generator.org],
Analytics,统计分析,
Ancestors Of,祖先,
Annual,全年,
Anonymous,匿名,
Another transaction is blocking this one. Please try again in a few seconds.,另一個事務阻塞這一個。請稍後再試。,
"Another {0} with name {1} exists, select another name",另一{0}名{1}存在，選擇另一個名字,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,可以使用任何基于字符串的打印机语言。编写原始命令需要了解打印机制造商提供的打印机本机语言。请参阅打印机制造商提供的开发人员手册，了解如何编写本机命令。这些命令使用Jinja模板语言在服务器端呈现。,
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",除了系統管理器，用設置用戶權限的角色權可以為其他用戶的文件類型的權限。,
App,應用,
App Access Key,應用程序訪問密鑰,
App Client ID,應用程序客戶端ID,
App Client Secret,應用程序客戶端密鑰,
App Logo,应用图标,
App Name,應用程式名稱,
App Secret Key,應用保密密鑰,
App {0} is not installed,未安裝應用程序{0},
Append Emails to Sent Folder,添加邮件到已发送,
Append To,追加到,
Append To can be one of {0},追加到可以是一個{0},
Applicable Document Types,适用的单据类型,
Applicable For,適用,
Application Logo,应用徽标,
Application Name,应用名称,
Application Version,应用版本,
Applied On,应用于,
Apply,應用,
Apply Assignment Rule,执行分派规则,Button in list view actions menu
Apply Document Permissions,套用文件权限,
Apply Filters,应用筛选,
Apply Only Once,仅执行一次,
Apply Strict User Permissions,應用嚴格的用戶權限,
Apply To,适用于,
Apply To All Document Types,适用于所有单据类型,
Apply this rule if the User is the Owner,應用此規則如果用戶是業主,
Apply this rule only once per document,对每个单据仅执行一次规则,
Apply to all Documents Types,适用于所有单据类型,
Applying: {0},申请：{0},
Appreciate,点赞,
Appreciation,点赞,
Approval Required,需要批准,
Archive,檔案,
Archived,存檔,
Archived Columns,歸檔列,
Are you sure you want to delete all rows?,确定删除所有行？,
Are you sure you want to delete the attachment?,您確定要刪除附件？,
Are you sure you want to generate a new report?,您确定要生成新报告吗？,
Are you sure you want to merge {0} with {1}?,您确定要将{0}与{1}合并吗？,
Are you sure you want to re-enable scheduler?,确定启动后台任务？,
Are you sure you want to relink this communication to {0}?,您確定要重新鏈接該通信{0}？,
Are you sure you want to remove all failed jobs?,确定删除所有运行出错的任务?,
Are you sure you want to remove the {0} filter?,你确定要删除过滤条件 {0}？,
Are you sure you want to reset all customizations?,您确定要重置所有自定义设置吗？,
Are you sure you want to save this document?,您确定要保存此文档吗？,
Are you sure?,你确定吗？,
Arguments,参数,
Arial,Arial,
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",作為最佳實踐，不分配相同的一組權限的規則不同角色。相反，設置多個角色，以相同的用戶。,
Assign Condition,分派条件,
Assign To,指派給,
Assign To Users,指派给用户,
"Assign one by one, in sequence",按顺序逐个用户分派,
Assign to me,分配給我,
Assign to the one who has the least assignments,指派给待办最少的用户,
Assign to the user set in this field,分配给该字段中的用户集,
Assigned,分配,
Assigned By,由....指派,
Assigned By Full Name,分配者姓名,
Assigned By Me,指定由我,
Assigned To,指派給,
Assigned To/Owner,指派給／所有者,
Assigning...,分派中...,
Assignment,分派,
Assignment Completed,轉讓完成,
Assignment Days,分派日,
Assignment Rule,分派规则,
Assignment Rule Day,分配规则日,
Assignment Rule User,分派规则用户,
Assignment Rules,分派规则,
Assignment Update on {0},{0}上的作业更新,
Assignment for {0} {1},{0} {1}的分派,
Assignments,任务分派,
Atleast one field of Parent Document Type is mandatory,家長文件類型的至少一個字段是強制性的,
Attach,附加檔案,
Attach Document Print,附加文件列印,
Attach Image,附上圖片,
Attach Print,附加列印,
Attach a web link,添加一个网址,
Attach files / urls and add in table.,附加文件/網址並添加到表格中。,
Attached File,附件文件,
Attached To DocType,附加於 DocType,
Attached To Field,附在田地上,
Attached To Name,單身者姓名,
Attachment,附件,
Attachment Limit (MB),附件限制（MB）,
Attachment Link,附件链接,
Attachment Removed,附件已刪除,
Attachments,附件,
Attempting Connection to QZ Tray...,尝试连接QZ托盘......,
Attempting to launch QZ Tray...,试图推出QZ Tray ......,
Audit Trail,审计轨迹,
Auth URL Data,身份驗證URL數據,
Authentication,認證,
Authentication Apps you can use are: ,您可以使用的驗證應用程序是：,
Authentication failed while receiving emails from Email Account: {0}.,从电子邮件帐户{0}接收电子邮件时，身份验证失败。,
Author,作者,
Authorization Code,授權碼,
Authorize API Indexing  Access,授权API索引访问,
Authorize Google Calendar Access,授权Google日历访问权限,
Authorize Google Contacts Access,授权Google通讯录访问权限,
Authorize Google Drive Access,授权Google Drive Access,
Authorize URL,授權URL,
Authorized,合法,
Auto,汽車,
Auto Account Deletion within (Hours),自动删除账号时限(小时),
Auto Email Report,自動電子郵件報告,
Auto Name,自動名稱,
Auto Repeat,自動重複,
Auto Repeat Document Creation Failed,自动重复文档创建失败,
Auto Repeat Schedule,自動重複時間表,
Auto Repeat created for this document,为此文档创建了自动重复,
Auto Repeat failed for {0},{0}自动重复失败,
Auto Reply,自动回复,
Auto Reply Message,自動回复留言,
Auto assignment failed: {0},自动分派失败：{0},
Auto follow documents that are assigned to you,自动关注分派给你的单据,
Auto follow documents that are shared with you,自动关注分享给你的单据,
Auto follow documents that you Like,自动关注你喜欢的单据,
Auto follow documents that you comment on,自动关注你评论的单据,
Auto follow documents that you create,自动关注你创建的单据,
Autocomplete,自动完成,
Autoincrement,自增,
Automatic,自动,
Automatic Linking can be activated only for one Email Account.,只能为一个电子邮箱帐号激活自动链接。,
Automatic Linking can be activated only if Incoming is enabled.,仅当勾选“收邮件”时，才能激活自动链接。,
Automatically Assign Documents to Users,自动为用户分派单据,
Automation,自动化,
Avatar,頭像,
Average,平均值,
Average of {0},平均值{0},
Avoid dates and years that are associated with you.,避免日期和與你相關的年。,
Avoid recent years.,避免最近幾年。,
Avoid sequences like abc or 6543 as they are easy to guess,避免像ABC或6543的序列，因為它們容易被猜中,
Avoid years that are associated with you.,避免了與你相關的年。,
Awaiting Password,等待密碼,
Awaiting password,稍后提供密码,
BCC,暗送,
Back to Desk,回到辦公桌,
Back to Home,回到主页,
Back to Login,返回登陸,
Background Color,背景顏色,
Background Image,背景圖片,
Background Jobs,後台作業,
Background Workers,背景工人,
Backing up to Google Drive.,备份到Google云端硬盘。,
Backup Details,备份详细资料,
Backup Encryption Key,备份秘钥,
Backup Files,备份文件,
Backup Folder ID,备份文件夹ID,
Backup Folder Name,备份文件夹名称,
Backup Frequency,備份頻率,
Backup job is already queued. You will receive an email with the download link,備份作業已經排隊。您將收到一封包含下載鏈接的電子郵件,
Backup public and private files along with the database.,备份公共和私有文件以及数据库。,
Backups,備份,
Banker's Rounding,银行圆整,
Banner,橫幅,
Banner HTML,橫幅的HTML,
Banner Image,橫幅圖片,
Banner is above the Top Menu Bar.,橫幅位於選單欄上方。,
Bar,柱状图,
Barcode,条码,
Base Distinguished Name (DN),基本專有名稱（DN）,
Base URL,基本網址,
Based On,基於,
Based on Field,基于字段,
Based on Permissions For User,基於權限之和,
Basic,基本的,
Basic Info,基本信息,
Before Cancel,取消前,
Before Delete,删除前,
Before Insert,创建前,
Before Save,保存前,
Before Save (Submitted Document),保存前(已提交),
Before Submit,提交前,
Before Validate,校验前,
Beginner,初學者,
Beginning with,開頭,
Beta,Beta版,
Better add a few more letters or another word,最好加幾個字母或一個字,
Between,之間,
Billing,計費,
Bio,生物,
Birth Date,出生日期,
Blank Template,空白模板,
Block Module,封鎖模組,
Block Modules,封鎖模組,
Blocked,受阻,
Blog,部落格,
Blog Category,部落格分類,
Blog Intro,部落格介紹,
Blog Introduction,部落格簡介,
Blog Post,網誌文章,
Blog Settings,部落格設定,
Blog Title,部落格標題,
Blogger,部落格,
Blue,藍色,
Bold,粗体字显示,
Bot,博特,
Both DocType and Name required,既需要的DocType和名稱,
Both login and password required,需要登錄名稱和密碼,
Bottom,底部,
Bottom Center,底部中间,
Bottom Left,底部左侧,
Bottom Right,底部右侧,
Bounced,退回,
Brand,品牌,
Brand HTML,品牌的HTML,
Brand Image,品牌形象,
Brand Logo,品牌图标,
Breadcrumbs,麵包屑,
Browser,浏览器,
Browser Version,浏览器版本,
Browser not supported,瀏覽器不支持,
Brute Force Security,蠻力安全,
Bucket Name,桶名,
Bulk Actions,批量操作,
Bulk Delete,批量删除,
Bulk Edit {0},批量編輯{0},
Bulk Update,批量更新,
Button,按鍵,
Button Gradients,按钮渐变,
Button Rounded Corners,按钮圆角,
Button Shadows,按钮阴影,
"By ""Naming Series"" field",单据编号模板,
"By default the title is used as meta title, adding a value here will override it.",默认情况下，标题用作元标题，在此处添加值将覆盖它。,
By fieldname,字段,
By script,脚本代码,
Bypass Restricted IP Address Check If Two Factor Auth Enabled,绕过受限IP地址检查是否启用了两个因素验证,
Bypass Two Factor Auth for users who login from restricted IP Address,為受限IP地址登錄的用戶繞過雙因素身份驗證,
Bypass restricted IP Address check If Two Factor Auth Enabled,繞過受限制的IP地址檢查如果雙因素驗證啟用,
CANCELLED,已取消,
CC,CC,
CSS,CSS,
CSS Class,CSS类,
CSV,CSV,
CTA Label,CTA标签,
CTA URL,CTA网址,
Cache Cleared,快取已清除,
Calculate,計算,
Calendar,日曆,
Calendar Name,日曆名稱,
Calendar View,日曆視圖,
Call,通話,
Call To Action,行动召唤,
Call To Action URL,行动召唤网址,
Callback Message,回叫留言,
Callback Title,回调标题,
Camera,相机,
Campaign,競賽,
Can Read,可閱讀,
Can Share,可以分享,
Can Write,可以寫,
Can only change to/from Autoincrement naming rule when there is no data in the doctype,仅在单据类型无数据时修改自增编号,
Cancel,取消,
Cancel All,全部取消,
Cancel All Documents,取消所有单据,
Cancel {0} documents?,取消{0}笔单据？,Title of confirmation dialog
Cancelled,註銷,
Cancelled Document restored as Draft,已取消的文檔已恢復為草稿,
Cancelling,取消,Freeze message while cancelling a document
Cancelling documents,取消单据,
Cancelling {0},取消{0},
Cannot Remove,無法刪除,
Cannot cancel before submitting. See Transition {0},可以在提交之前不會取消。,
Cannot change state of Cancelled Document. Transition row {0},不能改變註銷文件的狀態。,
Cannot change to/from autoincrement autoname in Customize Form,定制表单不支持修改自增编号,
Cannot create a {0} against a child document: {1},無法創建{0}針對兒童的文檔：{1},
Cannot delete Home and Attachments folders,無法刪除首頁和附件的文件夾,
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},由於{0} {1}與{2} {3} {4}鏈接，無法刪除或取消,
Cannot delete standard action. You can hide it if you want,无法删除标准操作。你可以藏起来,
Cannot delete standard field. You can hide it if you want,無法刪除標準的現場。你可以將其隱藏，如果你想,
Cannot delete standard link. You can hide it if you want,无法删除标准链接。你可以藏起来,
Cannot delete {0},無法刪除{0},
Cannot delete {0} as it has child nodes,無法刪除{0} ，因為它有子節點,
"Cannot edit Standard Notification. To edit, please disable this and duplicate it",無法編輯標准通知。要進行編輯，請禁用並複制它,
Cannot edit a standard report. Please duplicate and create a new report,不能編輯標準的報告。請複製並創建一個新的報告,
Cannot edit cancelled document,無法編輯已取消文件,
Cannot edit filters for standard charts,无法编辑标准图表的过滤器,
Cannot edit standard fields,無法編輯標準欄位,
Cannot have multiple printers mapped to a single print format.,不能将多个打印机映射到单个打印格式。,
Cannot link cancelled document: {0},無法鏈接取消文件：{0},
Cannot match column {0} with any field,上传文件中的字段{0}无法匹配目标单据字段,
Cannot move row,不能移动行,
Cannot open instance when its {0} is open,無法打開實例時，它的{0}是開放的,
Cannot open {0} when its instance is open,無法打開{0} ，當它的實例是開放的,
Cannot remove ID field,無法刪除ID字段,
Cannot set Notification on Document Type {0},無法在文檔類型{0}上設置通知,
Cannot update {0},無法更新{0},
Cannot use sub-query in order by,不能使用子查詢，以便,
Capitalization doesn't help very much.,資本沒有太大幫助。,
Card,卡片,
Card Break,卡片分隔,
Card Label,数字卡标题,
Cards,卡片,
Category,類別,
Category Description,類別說明,
Category Name,分類名稱,
Cent,一分錢,
Center,中心,
"Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.",某些文件，如發票，一旦定稿後不應更改。對這類文件來說定稿稱為提交。您可以限制哪些角色可以提交。,
Chain Integrity,鏈完整性,
Chaining Hash,鏈接哈希,
Change,更改,
Change Label (via Custom Translation),更改標籤（通過自定義轉換）,
Change Password,更改密碼,
Change User,切换用户,
Channel,渠道,
Chart,圖表,
Chart Configuration,图表配置,
Chart Name,图表名称,
Chart Options,图表选项,
Chart Source,图表来源,
Chart Type,圖表類型,
Charts,圖表,
Chat,聊天,
Check,查,
Check Request URL,檢查請求URL,
"Check columns to select, drag to set order.",檢查列選擇，拖放設置順序。,
Check the Error Log for more information: {0},检查错误日志以获取更多信息：{0},
Check this if you don't want users to sign up for an account on your site. Users won't get desk access unless you explicitly provide it.,如果您不希望用户在您的网站上注册帐户，请选中此复选框。除非您明确提供，否则用户将无法获得桌面访问权限。,
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,如果要強制用戶在儲存之前選擇了一系列，則勾選此項。如果您勾選此項，則將沒有預設值。,
Checking one moment,檢查一個時刻,
"Checking this will enable tracking page views for blogs, web pages, etc.",选中此选项将启用跟踪博客，网页等的页面浏览量。,
Checking this will hide custom doctypes and reports cards in Links section,勾选后快速访问卡中不会出现自定义单据类型和报表,
Checking this will publish the page on your website and it'll be visible to everyone.,选中此复选框将在您的网站上发布该页面，并且所有人都可以看到该页面。,
Checking this will show a text area where you can write custom javascript that will run on this page.,选中此复选框将显示一个文本区域，您可以在其中编写将在此页面上运行的自定义JavaScript。,
Checksum Version,校驗版本,
Child Tables are shown as a Grid in other DocTypes,嵌入其它单据类型中作为表格，一对多关系中的多这一方,
Choose Existing Card or create New Card,选择已有卡或创建一个新卡,
Choose a block or continue typing,选择一个模板或输入文字,
Choose an icon,选择图标,
Choose authentication method to be used by all users,選擇所有用戶使用的身份驗證方法,
City,城市,
City/Town,市/鎮,
Clear,清除,
Clear Cache and Reload,清除缓存和重新加载,
Clear Error Logs,清除錯誤日誌,
Clear Filters,清除过滤条件,
Clear User Permissions,清除用户权限,
"Clearing end date, as it cannot be in the past for published pages.",清除結束日期，因為發布的頁面不能在過去。,
Click On Customize to add your first widget,点击定制按钮开始定制,
Click here to post bugs and suggestions,點擊這裡發布錯誤和建議,
Click here to verify,點擊這裡核實,
Click on <b>Authorize Google Drive Access</b> to authorize Google Drive Access.,点击<b>授权Google云端硬盘访问权限</b>以授权Google云端硬盘访问权限。,
Click on a file to select it.,单击文件以选择它。,
Click on the link below to approve the request,单击下面的链接批准该请求,
Click on the link below to complete your registration and set a new password,點擊下面的鏈接完成註冊，並設定新密碼,
Click on the link below to download your data,点击下面的链接下载您的数据,
Click on the link below to verify your request,点击下面的链接验证您的请求,
Click on the lock icon to toggle public/private,点击锁图标切换公有/私有,
Click on {0} to generate Refresh Token.,单击{0}以生成刷新令牌。,
Click table to edit,點擊表格編輯,
Click to Set Dynamic Filters,单击以设置动态过滤器,
Click to Set Filters,单击设置过滤条件,
Clicked,點擊,
Client,客戶,
Client Code,客户端javasript脚本,
Client Credentials,客戶端憑證,
Client ID,客戶端ID,
Client Information,客戶信息,
Client Script,客戶端腳本,
Client Secret,客戶秘密,
Client URLs,客戶端網址,
Close,關閉,
Close Condition,关闭条件,
Closed,關閉,
Code,源碼,
Collapse,收起,Shrink code field.
Collapse All,全部收縮,
Collapsible,可折疊,
Collapsible Depends On,可折疊取決於,
Collapsible Depends On (JS),可折叠先决条件(JS),
Color,顏色,
Column,柱,
Column <b>{0}</b> already exist.,列<b>{0}</b>已經存在。,
Column Break,分欄符,
Column Labels:,列標籤：,
Column Name,列名,
Column Name cannot be empty,列名不能為空,
Column Width,列宽,
Columns,列,
Columns / Fields,列/字段,
Columns based on,基於列,
